2026-02-23 10:57:40 | REGISTER | user=TestUser1 | role=user | success=True
2026-02-23 10:58:05 | LOGIN | user=TestUser1 | success=True
2026-02-23 11:05:02 | DETECTION | user=TestUser1 | role=user | result=PHISHING | score=7 | triggers=5
2026-02-23 11:10:05 | DETECTION | user=TestUser1 | role=user | result=SUSPICIOUS | score=5 | triggers=4
2026-02-28 20:19:51 | LOGOUT | user=TestUser1 | role=user
2026-02-28 20:23:54 | LOGIN | user=TestUser2 | success=False
2026-02-28 20:24:50 | REGISTER | user=TestUser2 | role=user | success=True
2026-02-28 20:27:39 | LOGIN | user=TestUser2 | success=True
2026-02-28 20:37:00 | DETECTION | user=TestUser2 | role=user | result=PHISHING | score=9 | triggers=6
2026-02-28 20:44:22 | LOGOUT | user=TestUser2 | role=user
2026-02-28 20:44:37 | REGISTER | user=admin1 | role=admin | success=True
2026-02-28 20:44:50 | LOGIN | user=admin1 | success=True
2026-03-02 09:17:39 | LOGOUT | user=admin1 | role=admin
2026-03-02 09:18:04 | LOGIN | user=admin1 | success=True
2026-03-02 09:18:14 | LOGOUT | user=admin1 | role=admin
2026-03-02 09:18:59 | LOGIN | user=TestUser1 | success=True
2026-03-02 09:19:31 | LOGOUT | user=TestUser1 | role=user
2026-03-02 09:19:44 | LOGIN | user=admin1 | success=True
2026-03-02 09:19:52 | LOGOUT | user=admin1 | role=admin
2026-03-02 09:22:41 | LOGIN | user=TestUser1 | success=True
2026-03-02 09:22:59 | LOGOUT | user=TestUser1 | role=user
2026-03-02 09:23:12 | LOGIN | user=admin1 | success=True
2026-03-02 09:23:34 | LOGOUT | user=admin1 | role=admin
2026-03-02 10:46:44 | REGISTER | user=admin1 | role=admin | success=False
2026-03-02 10:46:49 | LOGIN | user=admin1 | success=True
2026-03-02 10:47:22 | LOGOUT | user=admin1 | role=admin
2026-03-02 10:47:40 | LOGIN | user=admin1 | success=True
2026-03-02 10:47:42 | LOGOUT | user=admin1 | role=admin
2026-03-02 10:47:52 | LOGIN | user=TestUser1 | success=True
2026-03-02 11:16:52 | LOGOUT | user=TestUser1 | role=user
2026-03-02 11:16:59 | LOGIN | user=TestUser1 | success=True
2026-03-02 11:50:21 | OTP_ENABLE | user=TestUser1 | role=user
2026-03-02 11:50:28 | LOGOUT | user=TestUser1 | role=user
2026-03-02 11:50:30 | LOGIN | user=TestUser1 | success=True
2026-03-02 11:52:20 | LOGIN | user=TestUser1 | success=True
2026-03-02 11:55:42 | OTP_VERIFY | user=TestUser1 | success=False
2026-03-02 11:58:06 | LOGIN | user=TestUser1 | success=True
2026-03-02 13:32:06 | LOGIN_PASSWORD | user=TestUser1 | success=True
2026-03-02 13:40:23 | LOGIN_PASSWORD | user=TestUser1 | success=True
2026-03-02 13:40:38 | LOGIN_PASSWORD | user=TestUser1 | success=True
2026-03-02 13:40:54 | OTP_VERIFY | user=TestUser1 | success=False
2026-03-02 13:41:11 | OTP_VERIFY | user=TestUser1 | success=True
2026-03-03 00:46:59 | LOGOUT | user=TestUser1 | role=user
2026-03-03 00:47:15 | LOGIN_PASSWORD | user=admin1 | success=True
2026-03-03 00:48:01 | OTP_VERIFY | user=admin1 | success=True
2026-03-03 00:48:19 | LOGOUT | user=admin1 | role=admin
2026-03-03 00:48:30 | LOGIN_PASSWORD | user=TestUser1 | success=True
2026-03-03 00:48:45 | OTP_VERIFY | user=TestUser1 | success=True
2026-03-03 14:52:31 | LOGOUT | user=TestUser1 | role=user
2026-03-03 14:52:40 | LOGIN_PASSWORD | user=admin1 | success=True
2026-03-03 14:52:56 | OTP_VERIFY | user=admin1 | success=True
2026-03-03 14:58:36 | LOGOUT | user=admin1 | role=admin
2026-03-03 14:58:44 | LOGIN_PASSWORD | user=TestUser1 | success=True
2026-03-03 14:58:54 | OTP_VERIFY | user=TestUser1 | success=True
2026-03-03 15:07:55 | LOGOUT | user=TestUser1 | role=user
2026-03-03 15:08:02 | LOGIN_PASSWORD | user=admin1 | success=True
2026-03-03 15:08:19 | OTP_VERIFY | user=admin1 | success=True
2026-03-03 15:08:59 | LOGOUT | user=admin1 | role=admin
2026-03-03 15:09:06 | LOGIN_PASSWORD | user=TestUser1 | success=True
2026-03-03 15:09:19 | OTP_VERIFY | user=TestUser1 | success=True
2026-03-03 15:42:33 | LOGOUT | user=TestUser1 | role=user
2026-03-03 15:42:38 | LOGIN_PASSWORD | user=TestUser1 | success=True
2026-03-03 15:42:49 | OTP_VERIFY | user=TestUser1 | success=True
2026-03-04 14:07:14 | LOGOUT | user=TestUser1 | role=user
2026-03-04 15:03:25 | LOGIN_PASSWORD | user=TestUser1 | success=True
2026-03-04 15:10:13 | LOGIN_PASSWORD | user=TestUser1 | success=True
2026-03-04 15:10:23 | OTP_VERIFY | user=TestUser1 | success=True
2026-03-04 15:14:18 | DETECTION | user=TestUser1 | role=user | result=PHISHING | score=7 | triggers=4
2026-03-04 15:17:49 | LOGOUT | user=TestUser1 | role=user
2026-03-04 15:18:06 | LOGIN_PASSWORD | user=admin1 | success=True
2026-03-04 15:18:16 | OTP_VERIFY | user=admin1 | success=True
2026-03-10 18:04:40 | LOGIN_PASSWORD | user=TestUser1 | success=True
2026-03-10 18:04:55 | OTP_VERIFY | user=TestUser1 | success=True
2026-03-10 18:06:02 | LOGOUT | user=TestUser1 | role=user
2026-03-10 18:06:20 | LOGIN_PASSWORD | user=admin1 | success=True
2026-03-10 18:06:31 | OTP_VERIFY | user=admin1 | success=True
2026-03-10 18:07:41 | LOGOUT | user=admin1 | role=admin
2026-03-10 18:16:05 | LOGIN_PASSWORD | user=TestUser1 | success=True
2026-03-10 18:16:20 | OTP_VERIFY | user=TestUser1 | success=True
2026-03-10 18:16:55 | LOGOUT | user=TestUser1 | role=user
2026-03-10 18:17:02 | LOGIN_PASSWORD | user=admin1 | success=True
2026-03-10 18:17:16 | OTP_VERIFY | user=admin1 | success=True
2026-03-10 18:56:58 | LOGOUT | user=admin1 | role=admin
2026-03-10 18:57:07 | LOGIN_PASSWORD | user=TestUser1 | success=True
2026-03-10 18:57:32 | OTP_VERIFY | user=TestUser1 | success=True
2026-03-10 18:58:02 | LOGOUT | user=TestUser1 | role=user
2026-03-10 18:58:11 | LOGIN_PASSWORD | user=admin1 | success=True
2026-03-10 18:58:24 | OTP_VERIFY | user=admin1 | success=True
2026-03-10 23:30:32 | LOGOUT | user=admin1 | role=admin
2026-03-10 23:47:55 | LOGIN_PASSWORD | user=TestUser1 | success=True
2026-03-10 23:48:09 | OTP_VERIFY | user=TestUser1 | success=True
2026-03-10 23:48:46 | LOGOUT | user=TestUser1 | role=user
2026-03-10 23:48:57 | LOGIN_PASSWORD | user=admin1 | success=True
2026-03-10 23:48:59 | LOGIN_PASSWORD | user=admin1 | success=True
2026-03-10 23:49:09 | OTP_VERIFY | user=admin1 | success=False
2026-03-10 23:49:16 | OTP_VERIFY | user=admin1 | success=True
2026-03-11 14:09:02 | LOGOUT | user=admin1 | role=admin
2026-03-11 14:17:06 | LOGIN_PASSWORD | user=TestUser1 | success=True
2026-03-11 15:03:18 | LOGIN_PASSWORD | user=TestUser1 | success=True
2026-03-11 15:03:38 | OTP_VERIFY | user=TestUser1 | success=True
2026-03-11 15:04:07 | LOGOUT | user=TestUser1 | role=user
2026-03-11 15:04:25 | LOGIN_PASSWORD | user=TestUser1 | success=True
2026-03-11 15:04:48 | OTP_VERIFY | user=TestUser1 | success=True
2026-03-11 15:08:43 | LOGOUT | user=TestUser1 | role=user
2026-03-11 15:09:04 | LOGIN_PASSWORD | user=TestUser1 | success=True
2026-03-11 15:09:34 | OTP_VERIFY | user=TestUser1 | success=True
2026-03-11 15:19:52 | LOGIN_PASSWORD | user=TestUser1 | success=True
2026-03-11 15:20:06 | OTP_VERIFY | user=TestUser1 | success=True
2026-03-11 22:12:58 | LOGIN_PASSWORD | user=TestUser1 | success=True
2026-03-11 22:13:11 | OTP_VERIFY | user=TestUser1 | success=True
2026-03-11 22:14:11 | LOGOUT | user=TestUser1 | role=user
2026-03-11 22:14:18 | LOGIN_PASSWORD | user=admin1 | success=True
2026-03-11 22:14:34 | OTP_VERIFY | user=admin1 | success=True
2026-03-11 22:35:08 | LOGOUT | user=admin1 | role=admin
